Site	Key	rule	attribute_name	page_id	rule	attribute_name	page_id																														
www.fullcompass.com	5769-Semi - Hollow Body Electric Guitars	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5770-Single Bass Strings	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5771-Speakon, Speaker Connectors	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5772-Splitters / Combiners, Microphone Level	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5773-Surveillance Video Recorders	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5774-Synthesizers	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5775-Tremolo and Vibrato Pedals	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5776-Truss Segments	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5777-Tuning Machines for Guitars	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5778-USB Adapters	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5779-VHS Video Cassettes	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5780-Vocal Processors, Trainers	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5781-Wireless Plug - In Microphone Single Systems	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5782-Wireless Video / Data Components, Devices	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5783-Worship Presentation Software	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5784-XDCAM Video Discs	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5785-XLR to XLR Adapters	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.futurepowerpc.com	5787-Computers	//td[@height='30']/span/text()	Model #	TRUE																																	
www.futurepowerpc.com	5788-Hardware & Peripherals	//td[@height='30']/span/text()	Model #	TRUE																																	
www.futurepowerpc.com	5789-Vacuum Cleaners	//td[@height='30']/span/text()	Model #	TRUE																																	
www.futurepowerpc.com	5790-Winterizing	//td[@height='30']/span/text()	Model #	TRUE																																	
www.futurepowerpc.com	5791-\u0095\u00a0Floppy & Zip Drives	//td[@height='30']/span/text()	Model #	TRUE																																	
www.futurepowerpc.com	5792-\u0095\u00a0IP Cameras	//td[@height='30']/span/text()	Model #	TRUE																																	
