SITO	CHIAVE	PATH	LABEL	PAGE_ID	PATH_2	LABEL_2	PAGE_ID_2	PATH_3	LABEL_3	PAGE_ID_3	PATH_4	LABEL_4	PAGE_ID_4	PATH_5	LABEL_5	PAGE_ID_5	PATH_6	LABEL_6	PAGE_ID_6
www.fullcompass.com	9958-Ground Lifters	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9959-Guitar Straps	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9960-HDMI to DVI Adapters	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9961-Haze Machines	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9962-Hi - Hat Stands	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9963-Home Music Players	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9964-Home Theater & Gaming Projectors	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9965-Hubs, USB, Firewire	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9966-Installation Projectors	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9967-Isolators, Hum Eliminators, Video / RF	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
